"IsDepDelayed","fYear","fMonth","fDayofMonth","fDayOfWeek","UniqueCarrier","Origin","Dest","Distance"
"YES","f1987","f10","f14","f3","PS","SAN","SFO",447
"NO","f1987","f10","f18","f7","PS","SAN","SFO",447
"YES","f1987","f10","f19","f1","PS","SAN","SFO",447
"NO","f1987","f10","f21","f3","PS","SAN","SFO",447
"YES","f1987","f10","f23","f5","PS","SAN","SFO",447
"YES","f1987","f10","f24","f6","PS","SAN","SFO",447
"NO","f1987","f10","f25","f7","PS","SAN","SFO",447
"YES","f1987","f10","f26","f1","PS","SAN","SFO",447
"YES","f1987","f10","f28","f3","PS","SAN","SFO",447
"YES","f1987","f10","f29","f4","PS","SAN","SFO",447
"YES","f1987","f10","f31","f6","PS","SAN","SFO",447
"YES","f1987","f10","f1","f4","PS","SFO","RNO",192
"YES","f1987","f10","f2","f5","PS","SFO","RNO",192
"YES","f1987","f10","f3","f6","PS","SFO","RNO",192
"NO","f1987","f10","f4","f7","PS","SFO","RNO",192
"YES","f1987","f10","f5","f1","PS","SFO","RNO",192
"YES","f1987","f10","f6","f2","PS","SFO","RNO",192
"YES","f1987","f10","f7","f3","PS","SFO","RNO",192
"YES","f1987","f10","f8","f4","PS","SFO","RNO",192
"YES","f1987","f10","f9","f5","PS","SFO","RNO",192
"NO","f1987","f10","f10","f6","PS","SFO","RNO",192
"YES","f1987","f10","f11","f7","PS","SFO","RNO",192
"YES","f1987","f10","f12","f1","PS","SFO","RNO",192
"YES","f1987","f10","f13","f2","PS","SFO","RNO",192
"YES","f1987","f10","f14","f3","PS","SFO","RNO",192
"YES","f1987","f10","f15","f4","PS","SFO","RNO",192
"YES","f1987","f10","f17","f6","PS","SFO","RNO",192
"NO","f1987","f10","f18","f7","PS","SFO","RNO",192
"YES","f1987","f10","f19","f1","PS","SFO","RNO",192
"NO","f1987","f10","f21","f3","PS","SFO","RNO",192
"NO","f1987","f10","f22","f4","PS","SFO","RNO",192
"YES","f1987","f10","f23","f5","PS","SFO","RNO",192
"NO","f1987","f10","f25","f7","PS","SFO","RNO",192
"YES","f1987","f10","f26","f1","PS","SFO","RNO",192
"YES","f1987","f10","f27","f2","PS","SFO","RNO",192
"YES","f1987","f10","f28","f3","PS","SFO","RNO",192
"YES","f1987","f10","f29","f4","PS","SFO","RNO",192
"YES","f1987","f10","f30","f5","PS","SFO","RNO",192
"YES","f1987","f10","f31","f6","PS","SFO","RNO",192
"YES","f1987","f10","f1","f4","PS","BUR","OAK",325
"YES","f1987","f10","f2","f5","PS","BUR","OAK",325
