"premax","salmax","minairtemp","maxairtemp","maxsst","maxsoilmoist","Max_czcs","runoffnew"
350.0,3448,287.0,301.5,302817,6.390000000000001,0.51,167
350.0,3487,290.0,301.2,302280,0.0,0.8,0
450.0,3483,289.0,301.0,303326,1.0,1.25,0
378.57,3467,286.0,302.0,303122,7.0,1.6500000000000001,0
350.0,3459,288.0,301.0,302890,5.0,1.53,300
375.0,3472,287.0,302.0,302767,9.0,0.75,0
435.71000000000004,3481,288.1,302.3,302750,0.0,0.8200000000000001,0
435.71000000000004,3483,288.90000000000003,302.40000000000003,302733,0.0,0.8200000000000001,0
450.0,3480,289.0,302.0,302775,9.0,0.97,0
350.0,3467,289.90000000000003,301.40000000000003,302847,0.0,0.68,0
350.0,3482,290.0,301.0,302422,14.0,1.11,0
350.0,3505,289.90000000000003,301.40000000000003,301970,0.0,0.5,0
411.54,3485,285.7,302.0,303427,0.0,1.54,0
350.0,3483,285.0,302.0,303326,10.0,2.5,300
350.0,3471,285.0,302.0,303016,12.0,2.43,300
450.0,3480,288.0,303.0,302771,13.0,1.95,300
450.0,3478,290.0,302.0,302826,6.0,1.68,150
421.43,3473,288.0,303.0,302907,8.0,0.91,0
350.0,3449,289.5,301.8,303057,0.0,0.86,0
350.0,3475,290.0,302.0,302556,13.0,1.9100000000000001,600
330.0,3500,289.5,301.8,301867,0.0,0.47000000000000003,0
335.71,3484,284.1,302.8,302460,2.9,0.71,82
350.0,3491,284.3,303.3,302677,0.0,1.25,0
350.0,3498,284.0,303.3,302860,2.6,0.85,138
438.89,3506,282.6,303.1,303327,0.0,1.17,0
450.0,3497,283.0,303.0,303361,9.0,2.21,0
361.11,3466,288.40000000000003,302.90000000000003,302970,0.0,0.66,0
350.0,3453,289.0,302.0,303057,11.0,1.3,0
283.33,3490,289.0,302.0,302295,13.0,0.59,0
350.0,3488,285.0,302.0,302571,3.0,0.99,0
350.0,3493,284.0,304.0,302728,6.0,2.12,300
350.0,3502,284.0,303.0,302951,4.0,2.08,300
376.67,3513,282.0,303.8,303203,0.0,3.39,0
450.0,3507,283.0,303.0,303245,6.0,3.83,150
350.0,3472,287.0,303.0,303100,8.0,1.1300000000000001,75
300.0,3471,287.1,303.3,303127,0.0,0.81,0
350.0,3465,288.0,302.0,303320,11.0,1.45,0
250.0,3494,289.0,302.0,302636,13.0,2.66,300
250.0,3531,290.0,301.0,302093,6.0,1.19,300
250.0,3537,289.5,301.1,302103,5.13,0.29,210
250.0,3486,285.0,302.0,302160,3.0,1.1,0
250.0,3487,281.0,304.0,302556,7.0,2.2,300
350.0,3510,280.0,305.0,303172,6.0,11.370000000000001,300
350.0,3511,279.0,305.0,303244,8.0,1.97,150
250.0,3475,285.0,305.0,303122,10.0,1.69,75
250.0,3476,287.0,303.0,303127,5.0,1.03,75
250.0,3483,285.40000000000003,303.7,303217,0.0,0.72,0
250.0,3473,286.0,303.0,303463,9.0,1.79,0
235.71,3531,288.40000000000003,300.5,302163,0.0,0.41000000000000003,0
162.5,3488,280.90000000000003,305.0,301860,0.0,1.02,0
200.0,3488,281.0,305.0,301860,4.0,1.72,0
250.0,3488,282.0,303.0,301860,4.0,1.85,25
250.0,3484,284.0,304.0,303359,6.0,1.32,25
250.0,3492,281.6,304.5,303663,0.0,1.54,0
225.0,3485,280.0,305.0,303636,7.0,2.16,0
216.67000000000002,3480,281.5,304.40000000000003,303697,0.0,2.75,0
250.0,3477,283.0,304.0,303578,8.0,3.37,0
250.0,3533,288.0,300.0,302145,8.0,0.58,600
150.0,3502,282.0,305.0,301881,3.0,1.3,0
250.0,3485,280.0,305.0,303688,5.0,2.73,25
150.0,3484,280.0,305.0,303697,4.0,3.33,25
150.0,3534,287.0,300.0,302140,9.0,0.16,600
178.57,3538,286.7,300.5,302130,0.0,0.35000000000000003,0
150.0,3529,277.6,307.3,301923,0.0,0.65,0
150.0,3524,277.0,308.0,301914,4.0,1.86,25
150.0,3529,284.5,301.40000000000003,302147,0.0,0.5,0
85.71000000000001,3536,277.40000000000003,309.1,302033,1.11,1.44,16
125.0,3545,276.3,308.5,301940,0.0,1.93,0
150.0,3537,276.0,308.0,301943,4.0,2.19,25
150.0,3533,283.0,302.0,302078,12.0,0.92,150
150.0,3539,285.0,302.0,301865,8.0,0.67,600
150.0,3542,283.90000000000003,302.40000000000003,301750,0.0,0.33,0
50.33,3510,279.0,308.40000000000003,301593,0.0,1.6300000000000001,0
64.43,3510,278.1,309.1,301727,0.0,2.13,0
75.0,3518,278.1,308.8,301707,0.0,1.71,0
75.0,3524,279.0,308.0,301817,1.0,3.33,25
75.0,3536,277.0,310.0,301960,2.0,3.2600000000000002,25
150.0,3545,283.0,303.0,301539,12.0,0.65,0
75.0,3547,283.0,302.5,301473,0.0,0.63,0
38.0,3513,280.7,306.7,300517,1.58,0.22,25
42.11,3512,280.1,307.3,300937,1.53,1.8900000000000001,20
38.0,3509,280.0,308.0,301593,2.0,4.97,25
75.0,3511,277.0,310.0,301601,2.0,7.8,25
