"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
554,1372665206000,1372665760000,404,"9 Ave & W 14 St",40.740582599999996,-74.00550867,404,"9 Ave & W 14 St",40.740582599999996,-74.00550867,15883,"Subscriber",1985,1
557,1372688898000,1372689455000,490,"8 Ave & W 33 St",40.751551,-73.993934,500,"Broadway & W 51 St",40.76228826,-73.98336183,15359,"Subscriber",1973,1
237,1372689607000,1372689844000,153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,519,"Pershing Square N",40.75188406,-73.97770164,18296,"Subscriber",1983,1
1273,1372690132000,1372691405000,480,"W 53 St & 10 Ave",40.76669671,-73.99061728,463,"9 Ave & W 16 St",40.74206539,-74.00443172,19188,"Subscriber",1975,1
551,1372690839000,1372691390000,516,"E 47 St & 1 Ave",40.75206862,-73.96784384,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,15529,"Subscriber",1963,1
567,1372691853000,1372692420000,545,"E 23 St & 1 Ave",40.736502,-73.97809472,320,"Church St & Leonard St",40.71743998,-74.00583475,15522,"Customer",,0
883,1372693765000,1372694648000,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,446,"W 24 St & 7 Ave",40.74487634,-73.99529885,20600,"Subscriber",1968,1
256,1372694242000,1372694498000,168,"W 18 St & 6 Ave",40.73971301,-73.99456405000001,444,"Broadway & W 24 St",40.742354299999995,-73.98915076,16987,"Subscriber",1980,1
984,1372694563000,1372695547000,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,195,"Liberty St & Broadway",40.70905623,-74.01043382,18376,"Subscriber",1975,1
1620,1372695803000,1372697423000,524,"W 43 St & 6 Ave",40.75527307,-73.98316936,434,"9 Ave & W 18 St",40.74317449,-74.00366443,15151,"Subscriber",1981,1
332,1372696443000,1372696775000,306,"Cliff St & Fulton St",40.708235020000004,-74.00530063000001,427,"State St",40.70251526,-74.01427023000001,16693,"Subscriber",1984,1
