Code,Name,dispCode,updatedCode
U+1F600,grinning face,U0001F600,U0001F600
U+1F601,grinning face with smiling eyes,U0001F601,U0001F601
U+1F602,face with tears of joy,U0001F602,U0001F602
U+1F923,rolling on the floor laughing,U0001F923,U0001F923
U+1F603,smiling face with open mouth,U0001F603,U0001F603
U+1F604,smiling face with open mouth & smiling eyes,U0001F604,U0001F604
U+1F605,smiling face with open mouth & cold sweat,U0001F605,U0001F605
U+1F606,smiling face with open mouth & closed eyes,U0001F606,U0001F606
U+1F609,winking face,U0001F609,U0001F609
U+1F60A,smiling face with smiling eyes,U0001F60A,U0001F60A
U+1F60B,face savouring delicious food,U0001F60B,U0001F60B
U+1F60E,smiling face with sunglasses,U0001F60E,U0001F60E
U+1F60D,smiling face with heart-eyes,U0001F60D,U0001F60D
U+1F618,face blowing a kiss,U0001F618,U0001F618
U+1F617,kissing face,U0001F617,U0001F617
U+1F619,kissing face with smiling eyes,U0001F619,U0001F619
U+1F61A,kissing face with closed eyes,U0001F61A,U0001F61A
U+263A,smiling face,U000263A,U0000263A
U+1F642,slightly smiling face,U0001F642,U0001F642
U+1F917,hugging face,U0001F917,U0001F917
U+1F914,thinking face,U0001F914,U0001F914
U+1F610,neutral face,U0001F610,U0001F610
U+1F611,expressionless face,U0001F611,U0001F611
U+1F636,face without mouth,U0001F636,U0001F636
U+1F644,face with rolling eyes,U0001F644,U0001F644
U+1F60F,smirking face,U0001F60F,U0001F60F
U+1F623,persevering face,U0001F623,U0001F623
U+1F625,disappointed but relieved face,U0001F625,U0001F625
U+1F62E,face with open mouth,U0001F62E,U0001F62E
U+1F910,zipper-mouth face,U0001F910,U0001F910
U+1F62F,hushed face,U0001F62F,U0001F62F
U+1F62A,sleepy face,U0001F62A,U0001F62A
U+1F62B,tired face,U0001F62B,U0001F62B
U+1F634,sleeping face,U0001F634,U0001F634
U+1F60C,relieved face,U0001F60C,U0001F60C
U+1F913,nerd face,U0001F913,U0001F913
U+1F61B,face with stuck-out tongue,U0001F61B,U0001F61B
U+1F61C,face with stuck-out tongue & winking eye,U0001F61C,U0001F61C
U+1F61D,face with stuck-out tongue & closed eyes,U0001F61D,U0001F61D
U+1F924,drooling face,U0001F924,U0001F924
U+1F612,unamused face,U0001F612,U0001F612
U+1F613,face with cold sweat,U0001F613,U0001F613
U+1F614,pensive face,U0001F614,U0001F614
U+1F615,confused face,U0001F615,U0001F615
U+1F643,upside-down face,U0001F643,U0001F643
U+1F911,money-mouth face,U0001F911,U0001F911
U+1F632,astonished face,U0001F632,U0001F632
U+2639,frowning face,U0002639,U00002639
U+1F641,slightly frowning face,U0001F641,U0001F641
U+1F616,confounded face,U0001F616,U0001F616
U+1F61E,disappointed face,U0001F61E,U0001F61E
U+1F61F,worried face,U0001F61F,U0001F61F
U+1F624,face with steam from nose,U0001F624,U0001F624
U+1F622,crying face,U0001F622,U0001F622
U+1F62D,loudly crying face,U0001F62D,U0001F62D
U+1F626,frowning face with open mouth,U0001F626,U0001F626
U+1F627,anguished face,U0001F627,U0001F627
U+1F628,fearful face,U0001F628,U0001F628
U+1F629,weary face,U0001F629,U0001F629
U+1F62C,grimacing face,U0001F62C,U0001F62C
U+1F630,face with open mouth & cold sweat,U0001F630,U0001F630
U+1F631,face screaming in fear,U0001F631,U0001F631
U+1F633,flushed face,U0001F633,U0001F633
U+1F635,dizzy face,U0001F635,U0001F635
U+1F621,pouting face,U0001F621,U0001F621
U+1F620,angry face,U0001F620,U0001F620
U+1F607,smiling face with halo,U0001F607,U0001F607
U+1F920,cowboy hat face,U0001F920,U0001F920
U+1F921,clown face,U0001F921,U0001F921
U+1F925,lying face,U0001F925,U0001F925
U+1F637,face with medical mask,U0001F637,U0001F637
U+1F912,face with thermometer,U0001F912,U0001F912
U+1F915,face with head-bandage,U0001F915,U0001F915
U+1F922,nauseated face,U0001F922,U0001F922
U+1F927,sneezing face,U0001F927,U0001F927
U+1F608,smiling face with horns,U0001F608,U0001F608
U+1F47F,angry face with horns,U0001F47F,U0001F47F
U+1F479,ogre,U0001F479,U0001F479
U+1F47A,goblin,U0001F47A,U0001F47A
U+1F480,skull,U0001F480,U0001F480
U+2620,skull and crossbones,U0002620,U00002620
U+1F47B,ghost,U0001F47B,U0001F47B
U+1F47D,alien,U0001F47D,U0001F47D
U+1F47E,alien monster,U0001F47E,U0001F47E
U+1F916,robot face,U0001F916,U0001F916
U+1F4A9,pile of poo,U0001F4A9,U0001F4A9
U+1F63A,smiling cat face with open mouth,U0001F63A,U0001F63A
