Code,Name
U+1F600,grinning face
U+1F601,grinning face with smiling eyes
U+1F602,face with tears of joy
U+1F923,rolling on the floor laughing
U+1F603,smiling face with open mouth
U+1F604,smiling face with open mouth & smiling eyes
U+1F605,smiling face with open mouth & cold sweat
U+1F606,smiling face with open mouth & closed eyes
U+1F609,winking face
U+1F60A,smiling face with smiling eyes
U+1F60B,face savouring delicious food
U+1F60E,smiling face with sunglasses
U+1F60D,smiling face with heart-eyes
U+1F618,face blowing a kiss
U+1F617,kissing face
U+1F619,kissing face with smiling eyes
U+1F61A,kissing face with closed eyes
U+263A,smiling face
U+1F642,slightly smiling face
U+1F917,hugging face
U+1F914,thinking face
U+1F610,neutral face
U+1F611,expressionless face
U+1F636,face without mouth
U+1F644,face with rolling eyes
U+1F60F,smirking face
U+1F623,persevering face
U+1F625,disappointed but relieved face
U+1F62E,face with open mouth
U+1F910,zipper-mouth face
U+1F62F,hushed face
U+1F62A,sleepy face
U+1F62B,tired face
U+1F634,sleeping face
U+1F60C,relieved face
U+1F913,nerd face
U+1F61B,face with stuck-out tongue
U+1F61C,face with stuck-out tongue & winking eye
U+1F61D,face with stuck-out tongue & closed eyes
U+1F924,drooling face
U+1F612,unamused face
U+1F613,face with cold sweat
U+1F614,pensive face
U+1F615,confused face
U+1F643,upside-down face
U+1F911,money-mouth face
U+1F632,astonished face
U+2639,frowning face
U+1F641,slightly frowning face
U+1F616,confounded face
U+1F61E,disappointed face
U+1F61F,worried face
U+1F624,face with steam from nose
U+1F622,crying face
U+1F62D,loudly crying face
U+1F626,frowning face with open mouth
U+1F627,anguished face
U+1F628,fearful face
U+1F629,weary face
U+1F62C,grimacing face
U+1F630,face with open mouth & cold sweat
U+1F631,face screaming in fear
U+1F633,flushed face
U+1F635,dizzy face
U+1F621,pouting face
U+1F620,angry face
U+1F607,smiling face with halo
U+1F920,cowboy hat face
U+1F921,clown face
U+1F925,lying face
U+1F637,face with medical mask
U+1F912,face with thermometer
U+1F915,face with head-bandage
U+1F922,nauseated face
U+1F927,sneezing face
U+1F608,smiling face with horns
U+1F47F,angry face with horns
U+1F479,ogre
U+1F47A,goblin
U+1F480,skull
U+2620,skull and crossbones
U+1F47B,ghost
U+1F47D,alien
U+1F47E,alien monster
U+1F916,robot face
U+1F4A9,pile of poo
U+1F63A,smiling cat face with open mouth
U+1F638,grinning cat face with smiling eyes
U+1F639,cat face with tears of joy
U+1F63B,smiling cat face with heart-eyes
U+1F63C,cat face with wry smile
U+1F63D,kissing cat face with closed eyes
U+1F640,weary cat face
U+1F63F,crying cat face
U+1F63E,pouting cat face
U+1F648,see-no-evil monkey
U+1F649,hear-no-evil monkey
U+1F64A,speak-no-evil monkey
U+1F466,boy
U+1F466 U+1F3FB,boy: light skin tone
U+1F466 U+1F3FC,boy: medium-light skin tone
U+1F466 U+1F3FD,boy: medium skin tone
U+1F466 U+1F3FE,boy: medium-dark skin tone
U+1F466 U+1F3FF,boy: dark skin tone
U+1F467,girl
U+1F467 U+1F3FB,girl: light skin tone
U+1F467 U+1F3FC,girl: medium-light skin tone
U+1F467 U+1F3FD,girl: medium skin tone
U+1F467 U+1F3FE,girl: medium-dark skin tone
