Name,Year,Animation,Comedy,Crime,Fantasy,Action,Thriller,Romance,Family,Adventure,Mystery,Horror,Musical,War,Western,Sci-Fi,Film-Noir
Toy Story ,1995,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jumanji ,1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Grumpier Old Men ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Waiting to Exhale ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Father of the Bride Part II ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heat ,1995,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Sabrina ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tom and Huck ,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sudden Death ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
GoldenEye ,1995,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
"American President, The ",1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Dracula: Dead and Loving It ,1995,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Balto ,1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nixon ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cutthroat Island ,1995,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
Casino ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Sense and Sensibility ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Four Rooms ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ace Ventura: When Nature Calls ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Money Train ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Get Shorty ,1995,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Copycat ,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Assassins ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Powder ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Leaving Las Vegas ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Othello ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Now and Then ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Persuasion ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"City of Lost Children, The ",1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Shanghai Triad Yao a yao yao dao waipo qiao ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dangerous Minds ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Twelve Monkeys ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Wings of Courage ,1995,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
Babe ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carrington ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Dead Man Walking ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Across the Sea of Time ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
It Takes Two ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clueless ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Cry, the Beloved Country ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Richard III ,1995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Dead Presidents ,1995,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Restoration ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mortal Kombat ,1995,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
To Die For ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
How to Make an American Quilt ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Seven Seen ,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Pocahontas ,1995,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
When Night Is Falling ,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Usual Suspects, The ",1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Guardian Angel ,1994,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Mighty Aphrodite ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lamerica ,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Big Green, The ",1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Georgia ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kids of the Round Table ,1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Home for the Holidays ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Postino, Il The Postman ",1994,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
"Confessional, The Le Confessionnal ",1995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"Indian in the Cupboard, The ",1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Eye for an Eye ,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Mr. Holland's Opus ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Two if by Sea ,1996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BioDome ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lawnmower Man : Beyond Cyberspace ,1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Two Bits ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
French Twist Gazon maudit ,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Friday ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
From Dusk Till Dawn ,1996,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False
Fair Game ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Kicking and Screaming ,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Mis�rables, Les ",1995,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bed of Roses ,1996,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Big Bully ,1996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Screamers ,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Nico Icon ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Crossing Guard, The ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Juror, The ",1996,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"White Balloon, The Badkonake Sefid  ",1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Things to Do in Denver when You're Dead ,1995,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
