SN,Name,Type,Year,Animation,Comedy,Crime,Fantasy,Action,Thriller,Romance,Family,Adventure,Mystery,Horror,Musical,War,Western,Sci-Fi,Film-Noir
1,Toy Story (1995),Animation|Children's|Comedy,1995,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
3,Grumpier Old Men (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,Waiting to Exhale (1995),Comedy|Drama,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Father of the Bride Part II (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Heat (1995),Action|Crime|Thriller,1995,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
7,Sabrina (1995),Comedy|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,Tom and Huck (1995),Adventure|Children's,1995,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,Sudden Death (1995),Action,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,GoldenEye (1995),Action|Adventure|Thriller,1995,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
11,"American President, The (1995)",Comedy|Drama|Romance,1995,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,Balto (1995),Animation|Children's,1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Nixon (1995),Drama,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
16,Casino (1995),Drama|Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
17,Sense and Sensibility (1995),Drama|Romance,1995,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,Four Rooms (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Money Train (1995),Action,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,Get Shorty (1995),Action|Comedy|Drama,1995,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
22,Copycat (1995),Crime|Drama|Thriller,1995,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
23,Assassins (1995),Thriller,1995,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24,Powder (1995),Drama|Sci-Fi,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
