_,Code,Name
1,U+1F600,grinning face
2,U+1F601,grinning face with smiling eyes
3,U+1F602,face with tears of joy
4,U+1F923,rolling on the floor laughing
5,U+1F603,smiling face with open mouth
6,U+1F604,smiling face with open mouth & smiling eyes
7,U+1F605,smiling face with open mouth & cold sweat
8,U+1F606,smiling face with open mouth & closed eyes
9,U+1F609,winking face
10,U+1F60A,smiling face with smiling eyes
11,U+1F60B,face savouring delicious food
12,U+1F60E,smiling face with sunglasses
13,U+1F60D,smiling face with heart-eyes
14,U+1F618,face blowing a kiss
15,U+1F617,kissing face
16,U+1F619,kissing face with smiling eyes
17,U+1F61A,kissing face with closed eyes
18,U+263A,smiling face
19,U+1F642,slightly smiling face
20,U+1F917,hugging face
21,U+1F914,thinking face
22,U+1F610,neutral face
23,U+1F611,expressionless face
24,U+1F636,face without mouth
25,U+1F644,face with rolling eyes
26,U+1F60F,smirking face
27,U+1F623,persevering face
28,U+1F625,disappointed but relieved face
29,U+1F62E,face with open mouth
30,U+1F910,zipper-mouth face
31,U+1F62F,hushed face
32,U+1F62A,sleepy face
33,U+1F62B,tired face
34,U+1F634,sleeping face
35,U+1F60C,relieved face
36,U+1F913,nerd face
37,U+1F61B,face with stuck-out tongue
38,U+1F61C,face with stuck-out tongue & winking eye
39,U+1F61D,face with stuck-out tongue & closed eyes
40,U+1F924,drooling face
41,U+1F612,unamused face
42,U+1F613,face with cold sweat
43,U+1F614,pensive face
44,U+1F615,confused face
45,U+1F643,upside-down face
46,U+1F911,money-mouth face
47,U+1F632,astonished face
48,U+2639,frowning face
49,U+1F641,slightly frowning face
50,U+1F616,confounded face
51,U+1F61E,disappointed face
52,U+1F61F,worried face
53,U+1F624,face with steam from nose
54,U+1F622,crying face
55,U+1F62D,loudly crying face
56,U+1F626,frowning face with open mouth
57,U+1F627,anguished face
58,U+1F628,fearful face
59,U+1F629,weary face
60,U+1F62C,grimacing face
61,U+1F630,face with open mouth & cold sweat
62,U+1F631,face screaming in fear
63,U+1F633,flushed face
64,U+1F635,dizzy face
65,U+1F621,pouting face
66,U+1F620,angry face
67,U+1F607,smiling face with halo
68,U+1F920,cowboy hat face
69,U+1F921,clown face
70,U+1F925,lying face
71,U+1F637,face with medical mask
72,U+1F912,face with thermometer
73,U+1F915,face with head-bandage
74,U+1F922,nauseated face
75,U+1F927,sneezing face
76,U+1F608,smiling face with horns
77,U+1F47F,angry face with horns
78,U+1F479,ogre
79,U+1F47A,goblin
80,U+1F480,skull
81,U+2620,skull and crossbones
82,U+1F47B,ghost
83,U+1F47D,alien
84,U+1F47E,alien monster
85,U+1F916,robot face
86,U+1F4A9,pile of poo
87,U+1F63A,smiling cat face with open mouth
88,U+1F638,grinning cat face with smiling eyes
89,U+1F639,cat face with tears of joy
90,U+1F63B,smiling cat face with heart-eyes
91,U+1F63C,cat face with wry smile
92,U+1F63D,kissing cat face with closed eyes
93,U+1F640,weary cat face
94,U+1F63F,crying cat face
95,U+1F63E,pouting cat face
96,U+1F648,see-no-evil monkey
97,U+1F649,hear-no-evil monkey
98,U+1F64A,speak-no-evil monkey
99,U+1F466,boy
100,U+1F466 U+1F3FB,boy: light skin tone
101,U+1F466 U+1F3FC,boy: medium-light skin tone
102,U+1F466 U+1F3FD,boy: medium skin tone
103,U+1F466 U+1F3FE,boy: medium-dark skin tone
104,U+1F466 U+1F3FF,boy: dark skin tone
105,U+1F467,girl
106,U+1F467 U+1F3FB,girl: light skin tone
107,U+1F467 U+1F3FC,girl: medium-light skin tone
108,U+1F467 U+1F3FD,girl: medium skin tone
109,U+1F467 U+1F3FE,girl: medium-dark skin tone
110,U+1F467 U+1F3FF,girl: dark skin tone
111,U+1F468,man
112,U+1F468 U+1F3FB,man: light skin tone
113,U+1F468 U+1F3FC,man: medium-light skin tone
114,U+1F468 U+1F3FD,man: medium skin tone
115,U+1F468 U+1F3FE,man: medium-dark skin tone
116,U+1F468 U+1F3FF,man: dark skin tone
117,U+1F469,woman
118,U+1F469 U+1F3FB,woman: light skin tone
119,U+1F469 U+1F3FC,woman: medium-light skin tone
120,U+1F469 U+1F3FD,woman: medium skin tone
