Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,778.007969062,102.087533008,409.661493908,0.0,34.9616554283,113.312780494,645.486393693,631.103360027,5.66466996096,8.71836370542
 01/01  02:00:00,776.241750053,102.087533008,412.574796603,0.0,34.9616554283,113.312780494,658.620280535,635.539107428,5.66466996096,17.4165031461
 01/01  03:00:00,779.357337671,102.087533008,412.809061363,0.0,34.9616554283,113.312780494,667.231361929,644.151709532,5.66466996096,17.4149824364
 01/01  04:00:00,778.737196133,102.087533008,410.759535024,0.0,34.9616554283,113.312780494,667.086263483,652.702863416,5.66466996096,8.71873010612
 01/01  05:00:00,787.835835013,102.087533008,406.741771365,0.0,44.4937663224,113.312780494,675.246367046,652.1646264,5.66466996096,17.4170706842
 01/01  06:00:00,786.181353863,102.087533008,401.129227505,0.0,44.4937663224,113.312780494,688.518150283,656.941022477,14.1616749024,17.4154529027
 01/01  07:00:00,853.508881122,102.087533008,400.777287864,0.0,54.0258772165,176.889270242,623.801710739,586.759374477,28.3233498048,8.71898645647
 01/01  08:00:00,859.135138491,102.087533008,401.762730475,0.0,54.0258772165,184.38654557,630.849182587,570.949549751,42.4850247072,17.4146081286
 01/01  09:00:00,928.7459153,102.087533008,402.643021574,0.0,65.1572554096,220.04316451,579.013941952,504.87154965,56.6466996096,17.4956926927
 01/01  10:00:00,918.674958022,102.087533008,412.147399533,0.0,65.1572554096,212.545889182,532.843152907,464.008079303,42.4850247072,26.3500488966
 01/01  11:00:00,933.686398459,102.087533008,420.566459809,0.0,65.1572554096,220.04316451,544.853637143,447.574476843,70.808374512,26.4707857879
 01/01  12:00:00,939.749652634,102.087533008,425.347477781,0.0,65.1572554096,220.04316451,543.138479071,445.859524387,70.808374512,26.4705801722
 01/01  13:00:00,942.399316863,102.087533008,428.719278125,0.0,65.1572554096,220.04316451,545.441180113,439.340013346,70.808374512,35.292792255
 01/01  14:00:00,939.027382587,102.087533008,432.151392567,0.0,65.1572554096,212.545889182,503.487369198,420.367770198,56.6466996096,26.4728993904
 01/01  15:00:00,944.336200103,102.087533008,432.725571058,0.0,65.1572554096,212.545889182,458.277047784,389.318840204,42.4850247072,26.4731828724
 01/01  16:00:00,956.800764558,102.087533008,426.883487575,0.0,65.1572554096,212.545889182,482.367066696,390.429368187,56.6466996096,35.2909988994
 01/01  17:00:00,920.947656025,102.087533008,430.478336726,0.0,65.1572554096,220.04316451,556.613233357,445.168080931,84.9700494144,26.4751030114
 01/01  18:00:00,880.490003544,102.087533008,429.610972626,0.0,54.0258772165,184.38654557,600.392422869,489.073813782,84.9700494144,26.3485596729
 01/01  19:00:00,865.248458905,102.087533008,425.642107461,0.0,44.4937663224,163.454314868,626.77361216,533.084576733,84.9700494144,8.71898601289
 01/01  20:00:00,859.644883782,102.087533008,420.640102469,0.0,44.4937663224,155.95703954,617.217767045,543.156458857,56.6466996096,17.414608579
 01/01  21:00:00,824.910022402,102.087533008,417.828241322,0.0,44.4937663224,124.558693486,660.796133785,586.733512407,56.6466996096,17.4159217687
 01/01  22:00:00,826.641002683,102.087533008,413.955525746,0.0,44.4937663224,124.558693486,647.05728876,595.853019341,42.4850247072,8.7192447115
 01/01  23:00:00,808.70025603,102.087533008,412.234040262,0.0,34.9616554283,124.558693486,661.788447948,616.0500333,28.3233498048,17.4150648429
 01/01  24:00:00,801.40817135,102.087533008,410.196036556,0.0,34.9616554283,124.558693486,659.020497598,627.442412912,14.1616749024,17.4164097832
 01/02  01:00:00,789.000674141,102.087533008,411.516238761,0.0,46.0930336215,113.312780494,640.930899812,626.546667601,5.66466996096,8.71956224929
 01/02  02:00:00,802.397652711,102.087533008,413.158182288,0.0,46.0930336215,113.312780494,655.91652085,632.836186058,5.66466996096,17.4156648311
 01/02  03:00:00,803.691737537,102.087533008,405.445069057,0.0,46.0930336215,113.312780494,663.625996981,640.544259362,5.66466996096,17.4170676585
 01/02  04:00:00,804.334909155,102.087533008,398.872600204,0.0,46.0930336215,113.312780494,664.62621774,650.244654954,5.66466996096,8.71689282512
 01/02  05:00:00,884.631536766,102.087533008,395.081370475,0.0,100.150657288,148.969399434,638.713451694,615.632459322,5.66466996096,17.4163224112
 01/02  06:00:00,880.814701403,102.087533008,400.028370787,0.0,100.150657288,149.894399434,1186.74524049,1155.16594754,14.1616749024,17.4176180504
 01/02  07:00:00,1117.44402754,102.087533008,405.290335568,0.0,176.471037341,302.612436532,790.283726089,753.243239391,28.3233498048,8.7171368929
 01/02  08:00:00,1227.4320525,102.087533008,407.100571268,0.0,243.2593065,310.10971186,745.079933477,676.227304287,42.4850247072,26.3676044824
